Frequency,ADS,,Theory,,HFSS 
11060000000,58.55337875,,52.48225598,,66.40904515
11080000000,57.04733357,,51.1002184,,65.05305474
11100000000,55.5418219,,49.71922358,,63.69780606
11120000000,54.03697976,,48.3393188,,62.34329214
11140000000,52.53294208,,46.96054826,,60.9895039
11160000000,51.02984223,,45.58295287,,59.63642998
11180000000,49.52781144,,44.20656999,,58.28405656
11200000000,48.02697841,,42.83143329,,56.93236715
11220000000,46.52746873,,41.45757247,,55.58134243
11240000000,45.02940443,,40.08501312,,54.23096006
11260000000,43.53290358,,38.7137765,,52.88119451
11280000000,42.03807959,,37.34387939,,51.53201684
11300000000,40.54504112,,35.97533385,,50.18339452
11320000000,39.05389137,,34.60814714,,48.83529126
11340000000,37.56472781,,33.24232147,,47.48766681
11360000000,36.07764169,,31.87785391,,46.14047674
11380000000,34.59271774,,30.51473617,,44.79367227
11400000000,33.11003375,,29.15295455,,43.44720005
11420000000,31.62966027,,27.7924897,,42.10100196
11440000000,30.15166024,,26.43331656,,40.7550149
11460000000,28.67608873,,25.07540418,,39.40917055
11480000000,27.20299261,,23.71871561,,38.06339519
