Frequency,Measurement,,Frequency,HFSS
,GD (ns),,,GD (ns)
11.8,-0.243540444,,11.8,0.190585707
11.825,0.363366385,,11.825,0.191068618
11.85,-0.073938713,,11.85,0.191602369
11.875,0.082151398,,11.875,0.192190889
11.9,0.150948615,,11.9,0.192838452
11.925,-0.030264814,,11.925,0.193549718
11.95,0.218032331,,11.95,0.194329771
11.975,0.00670029,,11.975,0.195184173
12,0.172652099,,12,0.196119021
12.025,-0.035308155,,12.025,0.197141011
12.05,0.297029889,,12.05,0.198257516
12.075,-0.191841732,,12.075,0.199476671
12.1,0.376176547,,12.1,0.200807471
12.125,-0.075936007,,12.125,0.20225989
12.15,0.122521559,,12.15,0.203845013
12.175,0.195005092,,12.175,0.20557519
12.2,-0.162035909,,12.2,0.207464216
12.225,0.346242475,,12.225,0.209527534
12.25,-0.192433481,,12.25,0.211782482
12.275,0.316517093,,12.275,0.214248564
12.3,-0.119985012,,12.3,0.216947775
12.325,0.329513056,,12.325,0.21990497
12.35,-0.097659111,,12.35,0.223148291
12.375,0.282015185,,12.375,0.226709651
12.4,0.082011451,,12.4,0.230625285
12.425,-0.007133316,,12.425,0.234936367
12.45,0.411885964,,12.45,0.239689674
12.475,-0.297944798,,12.475,0.244938302
12.5,0.584448706,,12.5,0.250742368
12.525,-0.169117488,,12.525,0.257169649
12.55,0.391510353,,12.55,0.264295998
12.575,0.11397426,,12.575,0.272205339
12.6,0.198015793,,12.6,0.280988826
12.625,0.238433282,,12.625,0.290742535
12.65,0.255568486,,12.65,0.301562598
12.675,0.264894243,,12.675,0.313535984
12.7,0.226075093,,12.7,0.32672394
12.725,0.468800352,,12.725,0.341133103
12.75,0.077918483,,12.75,0.356665958
12.775,0.70552838,,12.775,0.373036576
12.8,0.014623472,,12.8,0.389627616
12.825,0.728443825,,12.825,0.405246699
12.85,0.219509284,,12.85,0.417706566
12.875,0.61159272,,12.875,0.423085292
12.9,0.542291181,,12.9,0.414373037
12.925,0.498097158,,12.925,0.378855369
12.95,0.800865454,,12.95,0.292703682
12.975,0.32148,,12.975,0.10930119
13,0.824570464,,13,-0.2629583
13.025,-0.201585482,,13.025,-0.959413124
13.05,-0.227962255,,13.05,-1.873647944
13.075,-1.179723332,,13.075,-2.214367549
13.1,-0.720623552,,13.1,-1.578908698
13.125,-0.322460656,,13.125,-0.706012082
13.15,0.369773532,,13.15,-0.154755709
13.175,0.401178716,,13.175,0.126379915
13.2,0.793241879,,13.2,0.264270918
13.225,0.261909713,,13.225,0.329802862
13.25,0.848176545,,13.25,0.357946733
13.275,0.138088067,,13.275,0.366376369
13.3,0.646031147,,13.3,0.364404481
13.325,0.246501904,,13.325,0.357101421
13.35,0.276004429,,13.35,0.347281405
13.375,0.464627715,,13.375,0.336514669
13.4,-0.003854262,,13.4,0.32566821
13.425,0.570027823,,13.425,0.315205391
13.45,-0.075773934,,13.45,0.3053564
13.475,0.478330667,,13.475,0.29621709
13.5,-0.048820023,,13.5,0.287806993
13.525,0.400226132,,13.525,0.280103609
13.55,-0.039026,,13.55,0.273062691
13.575,0.345435383,,13.575,0.266630191
13.6,-0.004543098,,13.6,0.260749178
13.625,0.089575113,,13.625,0.255363751
13.65,0.28980004,,13.65,0.250421123
13.675,-0.17876392,,13.675,0.245872627
13.7,0.499800217,,13.7,0.241674074
13.725,-0.285548753,,13.725,0.23778575
13.75,0.416668665,,13.75,0.234172208
13.775,-0.124410316,,13.775,0.230801954
13.8,0.230949966,,13.8,0.227647097
13.825,-0.028066453,,13.825,0.224682992
13.85,0.142022537,,13.85,0.221887896
13.875,0.070963332,,13.875,0.219242638
13.9,0.00213744,,13.9,0.216730336
13.925,0.274313595,,13.925,0.214336123
13.95,-0.250921251,,13.95,0.212046915
13.975,0.462730485,,13.975,0.209851197
14,-0.321732035,,14,0.20773884
14.025,0.376447915,,14.025,0.205700933
14.05,-0.035145664,,14.05,0.203729643
14.075,0.049228697,,14.075,0.20181808
14.1,0.287120994,,14.1,0.199960191
14.125,-0.200920801,,14.125,0.198150658
14.15,0.364341923,,14.15,0.19638481
14.175,-0.220217618,,14.175,0.194658545
14.2,0.268110101,,14.2,0.192968265
14.225,-0.101998578,,14.225,0.191310812
14.25,0.195260218,,14.25,0.189683419
14.275,-0.051616103,,14.275,0.188083658
14.3,0.14387526,,14.3,0.186509402
14.325,0.019177082,,14.325,0.184958787
14.35,0.036553256,,14.35,0.183430177
14.375,0.211828072,,14.375,0.181922141
14.4,-0.165124873,,14.4,0.180433421
