fre,l6=16mm,l6=17mm,l6=18mm,,l6=16mm,l6=17mm,l6=18mm,,,l6=16mm,l6=17mm,l6=18mm
Frequency,GD,GD,GD,,GD(ns),GD(ns),GD(ns),,Frequency,Angle,Angle,Angle
3.7,1.80E-10,1.70E-10,1.66E-10,,0.180021586,0.169711026,0.166486327,,3.7,170.0596642,167.3897009,165.8095626
3.72,1.80E-10,1.70E-10,1.67E-10,,0.179666403,0.170063462,0.167091399,,3.72,168.7649927,166.1666058,164.6087444
3.74,1.79E-10,1.70E-10,1.68E-10,,0.179420583,0.170466141,0.167729965,,3.74,167.472468,164.940787,163.4034465
3.76,1.79E-10,1.71E-10,1.68E-10,,0.179275222,0.170916199,0.168400568,,3.76,166.1813364,163.7118934,162.1934329
3.78,1.79E-10,1.71E-10,1.69E-10,,0.179222328,0.171410967,0.169101799,,3.78,164.8909048,162.4795938,160.9784783
3.8,1.79E-10,1.72E-10,1.70E-10,,0.17925469,0.171947935,0.169832293,,3.8,163.6005348,161.2435755,159.758367
3.82,1.79E-10,1.73E-10,1.71E-10,,0.179365772,0.172524738,0.170590715,,3.82,162.3096373,160.0035435,158.5328933
3.84,1.80E-10,1.73E-10,1.71E-10,,0.179549628,0.17313913,0.171375753,,3.84,161.0176677,158.7592192,157.3018607
3.86,1.80E-10,1.74E-10,1.72E-10,,0.179800815,0.173788967,0.172186114,,3.86,159.7241226,157.51034,156.0650824
3.88,1.80E-10,1.74E-10,1.73E-10,,0.18011433,0.174472192,0.173020508,,3.88,158.428536,156.2566581,154.8223807
3.9,1.80E-10,1.75E-10,1.74E-10,,0.180485547,0.175186818,0.173877653,,3.9,157.1304763,154.9979404,153.5735871
3.92,1.81E-10,1.76E-10,1.75E-10,,0.180910168,0.175930916,0.174756259,,3.92,155.8295441,153.7339679,152.3185425
3.94,1.81E-10,1.77E-10,1.76E-10,,0.181384177,0.176702603,0.17565503,,3.94,154.5253698,152.4645353,151.057097
3.96,1.82E-10,1.78E-10,1.77E-10,,0.181903801,0.177500029,0.176572653,,3.96,153.2176119,151.1894505,149.7891101
3.98,1.82E-10,1.78E-10,1.78E-10,,0.182465474,0.178321371,0.177507797,,3.98,151.9059551,149.9085348,148.5144508
4,1.83E-10,1.79E-10,1.78E-10,,0.183065809,0.179164823,0.178459109,,4,150.5901091,148.6216227,147.2329978
4.02,1.84E-10,1.80E-10,1.79E-10,,0.18370157,0.180028584,0.17942521,,4.02,149.2698075,147.3285614,145.9446396
4.04,1.84E-10,1.81E-10,1.80E-10,,0.184369649,0.180910857,0.180404687,,4.04,147.9448065,146.0292111,144.6492748
4.06,1.85E-10,1.82E-10,1.81E-10,,0.185067046,0.181809841,0.181396098,,4.06,146.6148845,144.7234451,143.3468121
4.08,1.86E-10,1.83E-10,1.82E-10,,0.18579085,0.182723722,0.182397965,,4.08,145.279841,143.4111494,142.037171
4.1,1.87E-10,1.84E-10,1.83E-10,,0.186538225,0.183650675,0.183408771,,4.1,143.9394963,142.0922235,140.7202814
4.12,1.87E-10,1.85E-10,1.84E-10,,0.187306393,0.184588853,0.184426962,,4.12,142.5936906,140.7665797,139.3960847
4.14,1.88E-10,1.86E-10,1.85E-10,,0.18809263,0.185536389,0.185450942,,4.14,141.2422842,139.434144,138.0645332
4.16,1.89E-10,1.86E-10,1.86E-10,,0.188894246,0.18649139,0.186479078,,4.16,139.8851567,138.0948557,136.7255911
4.18,1.90E-10,1.87E-10,1.88E-10,,0.189708585,0.18745194,0.187509693,,4.18,138.5222071,136.7486679,135.3792345
4.2,1.91E-10,1.88E-10,1.89E-10,,0.190533014,0.188416092,0.18854107,,4.2,137.1533531,135.3955478,134.0254515
4.22,1.91E-10,1.89E-10,1.90E-10,,0.191364917,0.189381872,0.189571456,,4.22,135.7785317,134.0354762,132.664243
4.24,1.92E-10,1.90E-10,1.91E-10,,0.192201695,0.19034728,0.190599058,,4.24,134.3976983,132.6684488,131.2956226
4.26,1.93E-10,1.91E-10,1.92E-10,,0.193040759,0.191310288,0.191622046,,4.26,133.0108273,131.2944754,129.9196166
4.28,1.94E-10,1.92E-10,1.93E-10,,0.19387953,0.192268844,0.192638561,,4.28,131.6179114,129.9135806,128.5362651
4.3,1.95E-10,1.93E-10,1.94E-10,,0.194715439,0.193220871,0.193646711,,4.3,130.218962,128.525804,127.1456213
4.32,1.96E-10,1.94E-10,1.95E-10,,0.195545926,0.194164275,0.194644578,,4.32,128.8140091,127.1312001,125.7477525
4.34,1.96E-10,1.95E-10,1.96E-10,,0.196368443,0.195096943,0.195630225,,4.34,127.4031007,125.7298385,124.3427394
4.36,1.97E-10,1.96E-10,1.97E-10,,0.197180455,0.196016752,0.196601696,,4.36,125.9863035,124.3218041,122.9306772
4.38,1.98E-10,1.97E-10,1.98E-10,,0.197979446,0.196921572,0.197557024,,4.38,124.5637021,122.9071973,121.511675
4.4,1.99E-10,1.98E-10,1.98E-10,,0.19876292,0.197809272,0.198494238,,4.4,123.1353994,121.4861335,120.0858561
4.42,2.00E-10,1.99E-10,1.99E-10,,0.199528409,0.198677723,0.199411367,,4.42,121.7015161,120.0587438,118.653358
4.44,2.00E-10,2.00E-10,2.00E-10,,0.200273477,0.199524812,0.200306449,,4.44,120.2621904,118.6251743,117.2143324
4.46,2.01E-10,2.00E-10,2.01E-10,,0.200995726,0.200348441,0.201177537,,4.46,118.817578,117.1855865,115.7689451
4.48,2.02E-10,2.01E-10,2.02E-10,,0.201692807,0.201146541,0.202022708,,4.48,117.3678519,115.7401567,114.3173758
4.5,2.02E-10,2.02E-10,2.03E-10,,0.202362422,0.201917075,0.20284007,,4.5,115.9132016,114.2890763,112.8598181
4.52,2.03E-10,2.03E-10,2.04E-10,,0.203002338,0.202658051,0.203627771,,4.52,114.453833,112.8325508,111.3964788
4.54,2.04E-10,2.03E-10,2.04E-10,,0.20361039,0.203367528,0.20438401,,4.54,112.9899679,111.3708003,109.9275782
4.56,2.04E-10,2.04E-10,2.05E-10,,0.204184494,0.204043625,0.20510704,,4.56,111.5218434,109.9040584,108.4533491
4.58,2.05E-10,2.05E-10,2.06E-10,,0.204722652,0.204684531,0.205795182,,4.58,110.0497112,108.4325721,106.9740368
4.6,2.05E-10,2.05E-10,2.06E-10,,0.205222965,0.205288513,0.206446832,,4.6,108.5738372,106.9566012,105.4898985
4.62,2.06E-10,2.06E-10,2.07E-10,,0.205683637,0.205853927,0.20706047,,4.62,107.0945005,105.4764175,104.0012024
4.64,2.06E-10,2.06E-10,2.08E-10,,0.206102988,0.206379221,0.207634669,,4.64,105.6119928,103.9923046,102.5082277
4.66,2.06E-10,2.07E-10,2.08E-10,,0.206479459,0.206862952,0.208168099,,4.66,104.1266175,102.5045568,101.0112632
4.68,2.07E-10,2.07E-10,2.09E-10,,0.206811623,0.207303788,0.208659544,,4.68,102.6386886,101.0134781,99.51060707
4.7,2.07E-10,2.08E-10,2.09E-10,,0.207098188,0.207700517,0.209107897,,4.7,101.1485301,99.5193822,98.00656578
4.72,2.07E-10,2.08E-10,2.10E-10,,0.207338008,0.208052053,0.20951218,,4.72,99.65647473,98.02259069,96.49945335
4.74,2.08E-10,2.08E-10,2.10E-10,,0.207530086,0.208357447,0.209871539,,4.74,98.16286283,96.52343264,94.98959039
4.76,2.08E-10,2.09E-10,2.10E-10,,0.207673583,0.208615886,0.210185257,,4.76,96.66804149,95.02224346,93.47730318
4.78,2.08E-10,2.09E-10,2.10E-10,,0.207767816,0.208826705,0.210452753,,4.78,95.17236324,93.51936388,91.96292269
4.8,2.08E-10,2.09E-10,2.11E-10,,0.207812267,0.208989384,0.210673591,,4.8,93.67618494,92.01513891,90.44678354
4.82,2.08E-10,2.09E-10,2.11E-10,,0.207806584,0.209103557,0.21084748,,4.82,92.1798666,90.50991675,88.92922297
4.84,2.08E-10,2.09E-10,2.11E-10,,0.20775058,0.20916901,0.210974277,,4.84,90.68377014,89.00404769,87.41057982
4.86,2.08E-10,2.09E-10,2.11E-10,,0.207644238,0.209185686,0.211053986,,4.86,89.18825824,87.497883,85.89119339
