Frequency,HFSS,,,Frequency,Measurement
,mag,,,,Mag
10.9,-0.683583958,,,1.24E+10,-5.76224
10.92,-0.692714811,,,1.24E+10,-6.18188
10.94,-0.702062943,,,1.24E+10,-5.64561
10.96,-0.711625076,,,1.25E+10,-6.01245
10.98,-0.721397671,,,1.25E+10,-5.80453
11,-0.73137692,,,1.25E+10,-5.73706
11.02,-0.741558754,,,1.25E+10,-5.95818
11.04,-0.751938839,,,1.26E+10,-5.5167
11.06,-0.762512582,,,1.26E+10,-5.83574
11.08,-0.773275133,,,1.26E+10,-5.479
11.1,-0.784221394,,,1.26E+10,-5.66811
11.12,-0.795346021,,,1.27E+10,-5.39288
11.14,-0.806643437,,,1.27E+10,-5.66289
11.16,-0.818107836,,,1.27E+10,-5.2702
11.18,-0.829733193,,,1.27E+10,-5.61315
11.2,-0.841513281,,,1.28E+10,-5.34095
11.22,-0.853441674,,,1.28E+10,-5.53068
11.24,-0.865511769,,,1.28E+10,-5.70428
11.26,-0.877716794,,,1.28E+10,-5.52227
11.28,-0.890049825,,,1.29E+10,-6.13873
11.3,-0.902503803,,,1.29E+10,-5.81815
11.32,-0.915071552,,,1.29E+10,-6.76627
11.34,-0.927745795,,,1.29E+10,-6.82187
11.36,-0.940519175,,,1.30E+10,-8.09795
11.38,-0.953384274,,,1.30E+10,-8.99983
11.4,-0.966333636,,,1.30E+10,-10.27874
11.42,-0.979359788,,,1.30E+10,-11.53987
11.44,-0.992455266,,,1.31E+10,-11.35675
11.46,-1.005612636,,,1.31E+10,-10.97579
11.48,-1.018824521,,,1.31E+10,-9.36212
11.5,-1.032083629,,,1.31E+10,-8.36106
11.52,-1.045382782,,,1.32E+10,-7.23141
11.54,-1.058714941,,,1.32E+10,-6.76593
11.56,-1.072073242,,,1.32E+10,-5.94905
11.58,-1.085451026,,,1.32E+10,-6.07051
