Frequency,GD,GD(ns)
15.34,1.41E-10,0.141084569
15.36,1.41E-10,0.140552568
15.38,1.40E-10,0.140055334
15.4,1.40E-10,0.139592539
15.42,1.39E-10,0.13916387
15.44,1.39E-10,0.13876903
15.46,1.38E-10,0.138407742
15.48,1.38E-10,0.138079745
15.5,1.38E-10,0.137784803
15.52,1.38E-10,0.137522696
15.54,1.37E-10,0.137293233
15.56,1.37E-10,0.137096241
15.58,1.37E-10,0.136931575
15.6,1.37E-10,0.136799112
15.62,1.37E-10,0.136698758
15.64,1.37E-10,0.136630442
15.66,1.37E-10,0.136594123
15.68,1.37E-10,0.136589783
15.7,1.37E-10,0.136617436
15.72,1.37E-10,0.13667712
15.74,1.37E-10,0.136768905
15.76,1.37E-10,0.136892887
15.78,1.37E-10,0.13704919
15.8,1.37E-10,0.13723797
15.82,1.37E-10,0.137459408
15.84,1.38E-10,0.137713717
15.86,1.38E-10,0.138001138
15.88,1.38E-10,0.138321939
15.9,1.39E-10,0.138676418
15.92,1.39E-10,0.139064903
15.94,1.39E-10,0.139487748
15.96,1.40E-10,0.139945334
15.98,1.40E-10,0.140438071
16,1.41E-10,0.140966394
16.02,1.42E-10,0.141530766
16.04,1.42E-10,0.142131672
16.06,1.43E-10,0.142769623
16.08,1.43E-10,0.143445151
16.1,1.44E-10,0.144158811
16.12,1.45E-10,0.144911177
16.14,1.46E-10,0.14570284
16.16,1.47E-10,0.146534409
16.18,1.47E-10,0.147406505
16.2,1.48E-10,0.14831976
16.22,1.49E-10,0.149274816
16.24,1.50E-10,0.150272318
16.26,1.51E-10,0.151312914
16.28,1.52E-10,0.152397247
16.3,1.54E-10,0.153525955
16.32,1.55E-10,0.154699664
16.34,1.56E-10,0.15591898
16.36,1.57E-10,0.15718449
16.38,1.58E-10,0.158496748
16.4,1.60E-10,0.159856271
16.42,1.61E-10,0.161263532
16.44,1.63E-10,0.162718952
16.46,1.64E-10,0.164222886
16.48,1.66E-10,0.165775621
16.5,1.67E-10,0.167377359
16.52,1.69E-10,0.169028207
16.54,1.71E-10,0.170728168
16.56,1.72E-10,0.172477123
16.58,1.74E-10,0.174274823
16.6,1.76E-10,0.176120869
16.62,1.78E-10,0.178014703
16.64,1.80E-10,0.179955586
16.66,1.82E-10,0.181942588
16.68,1.84E-10,0.183974567
16.7,1.86E-10,0.186050156
16.72,1.88E-10,0.188167743
16.74,1.90E-10,0.190325459
16.76,1.93E-10,0.192521156
16.78,1.95E-10,0.194752397
16.8,1.97E-10,0.197016441
16.82,1.99E-10,0.199310227
16.84,2.02E-10,0.201630368
16.86,2.04E-10,0.20397314
16.88,2.06E-10,0.206334477
16.9,2.09E-10,0.208709969
16.92,2.11E-10,0.211094864
16.94,2.13E-10,0.213484075
16.96,2.16E-10,0.215872192
16.98,2.18E-10,0.218253497
17,2.21E-10,0.220621993
17.02,2.23E-10,0.222971429
17.04,2.25E-10,0.225295338
17.06,2.28E-10,0.227587088
17.08,2.30E-10,0.229839928
17.1,2.32E-10,0.232047051
17.12,2.34E-10,0.234201665
17.14,2.36E-10,0.236297066
17.16,2.38E-10,0.238326722
17.18,2.40E-10,0.240284363
17.2,2.42E-10,0.242164077
17.22,2.44E-10,0.243960409
17.24,2.46E-10,0.245668467
17.26,2.47E-10,0.247284032
17.28,2.49E-10,0.24880366
