Frequency,ADS,,,HFSS,,,Theory,
4800000000,2.21E-10,0.22139725,,2.10E-10,0.210352311,,1.26E-08,0.126176314
4820000000,2.21E-10,0.221175094,,2.11E-10,0.210592835,,1.26E-08,0.12592524
4840000000,2.21E-10,0.220874306,,2.11E-10,0.210786904,,1.26E-08,0.125636104
4860000000,2.20E-10,0.220496443,,2.11E-10,0.210934291,,1.25E-08,0.125310166
4880000000,2.20E-10,0.220043345,,2.11E-10,0.211034911,,1.25E-08,0.124948795
4900000000,2.20E-10,0.219517118,,2.11E-10,0.211088827,,1.25E-08,0.124553462
4920000000,2.19E-10,0.218920115,,2.11E-10,0.21109625,,1.24E-08,0.124125725
4940000000,2.18E-10,0.21825492,,2.11E-10,0.211057533,,1.24E-08,0.123667224
4960000000,2.18E-10,0.217524323,,2.11E-10,0.210973172,,1.23E-08,0.123179663
4980000000,2.17E-10,0.216731299,,2.11E-10,0.210843803,,1.23E-08,0.122664802
5000000000,2.16E-10,0.215878989,,2.11E-10,0.210767955,,1.22E-08,0.122124444
5020000000,2.15E-10,0.214970669,,2.10E-10,0.209795171,,1.22E-08,0.121560427
5040000000,2.14E-10,0.214009734,,2.09E-10,0.209471396,,1.21E-08,0.120974607
5060000000,2.13E-10,0.212999672,,2.09E-10,0.209102703,,1.20E-08,0.120368855
5080000000,2.12E-10,0.211944037,,2.09E-10,0.208690558,,1.20E-08,0.11974504
5100000000,2.11E-10,0.210846433,,2.08E-10,0.208236535,,1.19E-08,0.119105024
5120000000,2.10E-10,0.20971049,,2.08E-10,0.207742308,,1.18E-08,0.118450654
5140000000,2.09E-10,0.208539841,,2.07E-10,0.207209639,,1.18E-08,0.117783749
5160000000,2.07E-10,0.207338106,,2.07E-10,0.206640373,,1.17E-08,0.1171061
5180000000,2.06E-10,0.206108874,,2.06E-10,0.206036422,,1.16E-08,0.116419454
5200000000,2.05E-10,0.204855683,,2.05E-10,0.20539976,,1.16E-08,0.115725519
5220000000,2.04E-10,0.20358201,,2.05E-10,0.204732412,,1.15E-08,0.11502595
5240000000,2.02E-10,0.202291255,,2.04E-10,0.204036442,,1.14E-08,0.114322349
5260000000,2.01E-10,0.20098673,,2.03E-10,0.203313948,,1.14E-08,0.113616262
5280000000,2.00E-10,0.199671646,,2.03E-10,0.202567047,,1.13E-08,0.112909175
5300000000,1.98E-10,0.198349109,,2.02E-10,0.201797872,,1.12E-08,0.112202509
5320000000,1.97E-10,0.197022111,,2.01E-10,0.201008559,,1.11E-08,0.111497623
5340000000,1.96E-10,0.195693523,,2.00E-10,0.200201241,,1.11E-08,0.110795811
5360000000,1.94E-10,0.194366091,,1.99E-10,0.19937804,,1.10E-08,0.110098301
5380000000,1.93E-10,0.193042436,,1.99E-10,0.19854106,,1.09E-08,0.109406256
5400000000,1.92E-10,0.191725048,,1.98E-10,0.197692383,,1.09E-08,0.108720772
5420000000,1.90E-10,0.190416288,,1.97E-10,0.196834059,,1.08E-08,0.108042885
5440000000,1.89E-10,0.189118387,,1.96E-10,0.195968103,,1.07E-08,0.107373562
5460000000,1.88E-10,0.187833447,,1.95E-10,0.19509649,,1.07E-08,0.106713713
5480000000,1.87E-10,0.186563445,,1.94E-10,0.194221152,,1.06E-08,0.106064187
5500000000,1.85E-10,0.185310234,,1.93E-10,0.193343975,,1.05E-08,0.105425774
5520000000,1.84E-10,0.184075546,,1.92E-10,0.192466791,,1.05E-08,0.104799208
5540000000,1.83E-10,0.182860996,,1.92E-10,0.191591383,,1.04E-08,0.104185172
5560000000,1.82E-10,0.181668089,,1.91E-10,0.190719479,,1.04E-08,0.103584294
5580000000,1.80E-10,0.18049822,,1.90E-10,0.18985275,,1.03E-08,0.102997157
5600000000,1.79E-10,0.179352682,,1.89E-10,0.188992812,,1.02E-08,0.102424296
5620000000,1.78E-10,0.17823267,,1.88E-10,0.188141226,,1.02E-08,0.101866203
5640000000,1.77E-10,0.177139288,,1.87E-10,0.187299493,,1.01E-08,0.10132333
5660000000,1.76E-10,0.176073553,,1.86E-10,0.18646906,,1.01E-08,0.10079609
5680000000,1.75E-10,0.175036399,,1.86E-10,0.185651319,,1.00E-08,0.10028486
5700000000,1.74E-10,0.174028687,,1.85E-10,0.184847608,,9.98E-09,0.099789986
5720000000,1.73E-10,0.173051205,,1.84E-10,0.184059212,,9.93E-09,0.099311781
5740000000,1.72E-10,0.172104678,,1.83E-10,0.183287365,,9.89E-09,0.098850532
5760000000,1.71E-10,0.171189773,,1.83E-10,0.182533254,,9.84E-09,0.0984065
5780000000,1.70E-10,0.1703071,,1.82E-10,0.181798018,,9.80E-09,0.097979924
5800000000,1.69E-10,0.169457222,,1.81E-10,0.181082753,,9.76E-09,0.09757102
5820000000,1.69E-10,0.168640661,,1.80E-10,0.180388515,,9.72E-09,0.097179988
5840000000,1.68E-10,0.167857895,,1.80E-10,0.179716319,,9.68E-09,0.096807012
5860000000,1.67E-10,0.167109375,,1.79E-10,0.179067148,,9.65E-09,0.096452258
5880000000,1.66E-10,0.166395518,,1.78E-10,0.178441951,,9.61E-09,0.096115886
5900000000,1.66E-10,0.16571672,,1.78E-10,0.177841647,,9.58E-09,0.095798041
5920000000,1.65E-10,0.165073357,,1.77E-10,0.177267134,,9.55E-09,0.095498862
5940000000,1.64E-10,0.164465791,,1.77E-10,0.176719284,,9.52E-09,0.095218483
5960000000,1.64E-10,0.163894371,,1.76E-10,0.176198951,,9.50E-09,0.094957031
5980000000,1.63E-10,0.163359441,,1.76E-10,0.175706977,,9.47E-09,0.094714634
6000000000,1.63E-10,0.162861345,,1.75E-10,0.175244192,,9.45E-09,0.094491416
